,subj,handedness,finger,hand,dominant_hand,time_bin,taps_bin
457,76,right,pinky,right,True,4,58
458,76,right,pinky,right,True,5,60
459,77,right,index,right,True,0,65
460,77,right,index,right,True,1,56
461,77,right,index,right,True,2,67
462,77,right,index,right,True,3,64
463,77,right,index,right,True,4,66
464,77,right,index,right,True,5,68
465,78,right,index,left,False,0,57
466,78,right,index,left,False,1,57
467,78,right,index,left,False,2,53
468,78,right,index,left,False,3,53
469,78,right,index,left,False,4,48
470,78,right,index,left,False,5,50
471,79,right,pinky,left,False,0,60
472,79,right,pinky,left,False,1,55
473,79,right,pinky,left,False,2,53
474,79,right,pinky,left,False,3,52
475,79,right,pinky,left,False,4,54
476,79,right,pinky,left,False,5,49
477,80,right,index,right,True,0,60
478,80,right,index,right,True,1,39
479,80,right,index,right,True,2,69
480,80,right,index,right,True,3,72
481,80,right,index,right,True,4,69
482,80,right,index,right,True,5,77
483,81,right,index,left,False,0,93
484,81,right,index,left,False,1,52
485,81,right,index,left,False,2,51
486,81,right,index,left,False,3,64
487,81,right,index,left,False,4,54
488,81,right,index,left,False,5,52
489,82,right,pinky,left,False,0,51
490,82,right,pinky,left,False,1,48
491,82,right,pinky,left,False,2,47
492,82,right,pinky,left,False,3,48
493,82,right,pinky,left,False,4,40
494,82,right,pinky,left,False,5,38
495,83,right,index,left,False,0,63
496,83,right,index,left,False,1,53
497,83,right,index,left,False,2,57
498,83,right,index,left,False,3,56
499,83,right,index,left,False,4,56
500,83,right,index,left,False,5,21
501,84,right,index,right,True,0,68
502,84,right,index,right,True,1,63
503,84,right,index,right,True,2,58
504,84,right,index,right,True,3,59
505,84,right,index,right,True,4,63
506,84,right,index,right,True,5,61
507,85,left,index,left,True,0,67
508,85,left,index,left,True,1,59
509,85,left,index,left,True,2,52
510,85,left,index,left,True,3,52
511,85,left,index,left,True,4,54
512,85,left,index,left,True,5,50
513,86,right,pinky,right,True,0,57
514,86,right,pinky,right,True,1,52
515,86,right,pinky,right,True,2,53
516,86,right,pinky,right,True,3,56
